"date","temperatures.max","temperatures.min","precipitation.amount","solar.amount","relativeHumidity.max","relativeHumidity.min","wind.morningMax","wind.dayMax","wind.average"
"2019-04-21",32.7200012207031,24.1700000762939,0,6373.26171875,82.8300018310547,49,3.98281574249268,4.23608636856079,2.19052314758301
"2019-04-22",31.6299991607666,24.25,0,6755.1591796875,89.2300033569336,48.189998626709,4.18777942657471,4.44295501708984,2.72010278701782
"2019-04-23",32.4900016784668,23.8799991607666,0,6867.814453125,86.9300003051758,47.9099998474121,4.46382141113281,4.49340057373047,2.29087567329407
"2019-04-24",31.9899997711182,23.8700008392334,0,6425.3681640625,85.8300018310547,51.939998626709,4.20571994781494,5.35218238830566,2.75465559959412
"2019-04-25",32.7599983215332,24.1000003814697,0,6472.041015625,88.0599975585938,45.2599983215332,5.01953125,5.30154657363892,2.66515231132507
"2019-04-26",31.6100006103516,24.1000003814697,0,6837.02783203125,85.3600006103516,49.9799995422363,4.31613540649414,5.24716711044312,2.71988296508789
"2019-04-27",31.4500007629395,23.9099998474121,0,4751.79638671875,82.8399963378906,48.9099998474121,5.03991746902466,5.20682954788208,2.69952654838562
"2019-04-28",31.6299991607666,23.9300003051758,3.40395283699036,4104.7646484375,86.0199966430664,47.0699996948242,5.04791212081909,5.39033508300781,2.24072003364563
"2019-04-29",31.3600006103516,24.5699996948242,0,6244.20458984375,93.3600006103516,61.2599983215332,4.17949104309082,4.39235687255859,2.69948554039001
"2019-04-30",32.4099998474121,24.2600002288818,0,6682.36865234375,89,59.1399993896484,4.02837896347046,4.41358041763306,2.63694977760315
"2019-05-01",32.5099983215332,24.2999992370605,0.675461530685425,6753.51220703125,84.1800003051758,57.7599983215332,4.09591722488403,5.3967490196228,2.61404728889465
"2019-05-02",31.0400009155273,24.1399993896484,2.03475093841553,6509.31396484375,87.5199966430664,55.6399993896484,4.18613862991333,4.51009225845337,2.65592908859253
"2019-05-03",31.3899993896484,23.6800003051758,7.52677440643311,5493.86865234375,89.6699981689453,55.7200012207031,3.19688558578491,4.34466934204102,2.16332960128784
"2019-05-04",29.8700008392334,23.7199993133545,4.04863882064819,4825.3896484375,94.0899963378906,51.9300003051758,3.24637722969055,4.32303237915039,2.17817974090576
"2019-05-05",30.4599990844727,23.6100006103516,17.1205272674561,4910.32763671875,93.129997253418,59.939998626709,3.22765207290649,4.26800775527954,2.17182302474976
"2019-05-06",27.9300003051758,23.7299995422363,74.3675003051758,3536.85327148438,95.6999969482422,71.3300018310547,3.28102326393127,3.43901705741882,2.16242122650146
"2019-05-07",28.2800006866455,23.2800006866455,32.1557540893555,3143.76977539062,94.120002746582,74.6600036621094,2.5109589099884,2.6448974609375,1.63535964488983
"2019-05-08",29.5799999237061,23.5400009155273,33.5885009765625,4584.2900390625,98.75,63.0400009155273,3.9506196975708,4.42173099517822,2.16917634010315
