"","anthesis","TAir","TPan"
"82",8.1,25.320962207172,26.0050942392732
"83",8.2,25.4591758634255,26.0616816556715
"84",8.3,25.5959599374286,26.1181487675836
"85",8.4,25.7312544311656,26.1744514108556
"86",8.5,25.865,26.2305454104104
"87",8.6,25.997137978705,26.2863866290839
"88",8.7,26.127610407196,26.3419310157219
"89",8.8,26.2563600559537,26.3971346524992
"90",8.9,26.3833304511269,26.4519538014271
"91",9,26.5084658993038,26.5063449500195
"92",9.1,26.6317115119412,26.5602648560876
"93",9.2,26.75301322944,26.6136705916408
"94",9.3,26.8723178448579,26.6665195858688
"95",9.4,26.9895730272475,26.7187696671874
"96",9.5,27.1047273446104,26.7703791043289
"97",9.6,27.2177302864573,26.821306646463
"98",9.7,27.328532285963,26.8715115623351
"99",9.8,27.4370847417084,26.9209536784105
"100",9.9,27.5433400389989,26.9695934160161
"101",10,27.6472515707493,27.017391827472
"102",10.1,27.7487737579274,27.0643106312071
"103",10.2,27.8478620695465,27.1103122458545
"104",10.3,27.9444730421984,27.155359823324
"105",10.4,28.0385642991174,27.19941728085
"106",10.5,28.1300945687684,27.242449332014
"107",10.6,28.2190237029501,27.2844215167425
"108",10.7,28.305312694405,27.3253002302813
"109",10.8,28.3889236939298,27.3650527511498
"110",10.9,28.4698200269765,27.4036472680761
"111",11,28.5479662097399,27.4410529059186
"112",11.1,28.6233279647215,27.4772397505768
"113",11.2,28.6958722357648,27.5121788728969
"114",11.3,28.7655672025549,27.545842351577
"115",11.4,28.8323822945759,27.5782032950769
"116",11.5,28.8962882045203,27.6092358625384
"117",11.6,28.9572569011437,27.6389152837219
"118",11.7,29.0152616415609,27.6672178779657
"119",11.8,29.0702769829756,27.6941210721726
"120",11.9,29.1222787938407,27.7196034178316
"121",12,29.1712442644435,27.743644607079
"122",12.1,29.2171519169101,27.7662254878068
"123",12.2,29.2599816146268,27.7873280778215
"124",12.3,29.2997145710729,27.8069355780615
"125",12.4,29.3363333580603,27.8250323848768
"126",12.5,29.3698219133788,27.8416041013774
"127",12.6,29.4001655478413,27.8566375478534
"128",12.7,29.4273509517268,27.8701207712747
"129",12.8,29.4513662006187,27.8820430538702
"130",12.9,29.4722007606351,27.8923949207949
"131",13,29.4898454930494,27.9011681468852
"132",13.1,29.5042926582989,27.9083557625071
"133",13.2,29.5155359193792,27.9139520585001
"134",13.3,29.5235703446246,27.9179525902185
"135",13.4,29.5283924098706,27.920354180673
"136",13.5,29.53,27.9211549227733
"137",13.6,29.5283924098706,27.920354180673
"138",13.7,29.5235703446246,27.9179525902185
"139",13.8,29.5155359193792,27.9139520585001
"140",13.9,29.5042926582989,27.9083557625071
"141",14,29.4898454930494,27.9011681468852
"142",14.1,29.4722007606351,27.8923949207949
"143",14.2,29.4513662006187,27.8820430538702
"144",14.3,29.4273509517268,27.8701207712747
"145",14.4,29.4001655478413,27.8566375478534
"146",14.5,29.3698219133788,27.8416041013774
"147",14.6,29.3363333580603,27.8250323848768
"148",14.7,29.2997145710729,27.8069355780615
"149",14.8,29.2599816146268,27.7873280778215
"150",14.9,29.2171519169101,27.7662254878068
"151",15,29.1712442644435,27.743644607079
"152",15.1,29.1222787938407,27.7196034178315
"153",15.2,29.0702769829756,27.6941210721726
"154",15.3,29.0152616415609,27.6672178779657
